CL01ZSAP101 00001122005FA001606220X           0,00          0,00          0,00          0,00          0,00          0,00          1,41          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606305X        1766,33          0,00       4348,92          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606330X         953,62        948,94          0,00       2788,33          0,00          0,00       1234,95          0,00       1359,77       1226,63       1226,63       1396,65
CL01ZSAP101 00001122005FA001606430X           0,00        535,56          0,00        751,57          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606450X           0,00          0,00        197,51          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606500X       22615,63      12562,79       9687,01      29661,33       5871,32       5148,72       7523,52       3995,05      10828,63      21943,98      21943,98       7427,40
CL01ZSAP101 00001122005FA001607000X        9418,91       4014,08      14599,32      10972,04       4574,57       8114,53       5447,25       8837,25       4073,09      10932,71      10932,71      15386,71
CL01ZSAP101 00001122005FA001607080X           0,00          0,00          0,00          0,00          0,00          0,00          0,00        142,14          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001607090X           0,00          0,00          0,00          0,00       5742,85          0,00          0,00          0,00          0,00          0,00          0,00      18265,65
CL01ZSAP101 00001122005FA001607100X       25580,10          0,00        573,46      20380,61       7740,93        730,36         17,26       2613,12      18093,00       1116,37       1116,37      11637,55
CL01ZSAP101 00001122005FA001607200X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001607400X           0,00          0,00        224,23        110,26          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001607410X           0,00          0,00          0,00          0,00          0,00          0,00          0,00        543,02          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001607450X        1224,08       1982,45        406,80       5053,51          0,00        408,71        342,66        403,30        827,80        512,59        512,59        471,40
CL01ZSAP101 00001122005FA001607460X        1490,31          0,00          0,00         -1,37          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001607470X         143,30         48,10        126,87        553,99          4,29        434,45        433,81       1584,56        740,67      -1828,70       1828,70        918,08
CL01ZSAP101 00001122005FA001607480X        1530,70        403,44        728,01       2195,20        824,11        753,72       1720,66        520,11       2923,57       4135,29       4135,29        635,14
CL01ZSAP101 00001122005FA001620020X        5397,53       4460,96       4928,40       4928,59       5173,11       5194,17       5192,84       5192,99       5195,74      -5195,70       5195,70       5196,17
CL01ZSAP101 00001122005FA001626650X           0,00          0,00          0,00          0,00          0,00          0,00        285,31       -285,31          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130600190X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1649,19       1649,19        655,68
CL01ZSAP101 00001122005FA130600200X           0,00          0,00          0,00       1451,13          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130600400X        1818,09       1885,67       1803,37       1837,80       1848,04       1851,46       1894,27       1951,82       2031,57      -2078,50       2078,50       2134,08
CL01ZSAP101 00001122005FA130600460X         307,80        319,24        305,31        311,14        312,91        313,54        320,70        330,51        343,94        351,82        351,82        361,30
CL01ZSAP101 00001122005FA130600520X        1967,06          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130600540X         268,73        278,72        266,56        271,65        273,19        273,66        279,99        288,56        300,29        307,16        307,16        315,44
CL01ZSAP101 00001122005FA130600550X         926,58        960,63        918,50        936,51        941,27        943,60        966,14        996,05       1034,99       1060,63       1060,63       1089,40
CL01ZSAP101 00001122005FA130600570X         130,28        135,12        175,47        178,82        179,84        180,15        184,32        189,96        197,68       -202,20       -202,20        207,65
CL01ZSAP101 00001122005FA130600575X          56,21         58,30         55,76         56,82        375,55         56,61         57,92         59,69         61,14         62,54         62,54         64,22
CL01ZSAP101 00001122005FA130600580X           0,00          0,00          0,00          0,00          0,00          0,00        253,58         88,22       1298,73        122,84        122,84        124,18
CL01ZSAP101 00001122005FA130600600X         351,89        364,93        348,98        355,69        348,35        349,04        357,34        368,33        383,12        392,08        392,08        420,44
CL01ZSAP101 00001122005FA130600605X         276,76      -2123,97        274,47        468,42        312,63        312,98        278,26        286,59        298,23        727,10        727,10        738,28
CL01ZSAP101 00001122005FA130600610X          18,65         19,28         18,41         18,84         17,09         17,20         17,66         18,30         18,82         19,53         19,53         20,05
CL01ZSAP101 00001122005FA130601590X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130602040X         207,05          0,00          0,00       2095,68        248,35         67,24       1241,75         36,00          0,00       2559,43       2559,43         56,81
CL01ZSAP101 00001122005FA130602070X          53,56          0,00          0,00       1515,17          0,00          0,00       3717,89        126,18        180,53         11,63         11,63        328,68
CL01ZSAP101 00001122005FA130602080X           0,00          0,00          0,00          0,00          0,00        325,93          0,00         61,96          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130602100X           0,00        159,92          7,16        240,60         39,77        196,84        130,28        380,71        226,29       1510,58       1510,58       2095,39
CL01ZSAP101 00001122005FA130606000X           0,00          0,00          0,00          0,00          0,00          0,00          0,00        245,86          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130606110X           0,00          0,00          0,00          0,00          5,82          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130606120X           0,92          0,95          0,00          1,83          0,00          0,00          0,00          0,00        103,74         26,28         26,28          0,00
CL01ZSAP101 00001122005FA130606210X         634,09         93,53        696,93        705,45         19,01         17,73          4,26          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130606220X           0,00          0,00          0,00          0,00          0,00          0,00         56,48          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA130606330X           0,00          0,00          0,00          0,00          0,00          0,00          0,00       6152,53       3139,37       3224,08       3224,08       3274,42
CL01ZSAP101 00001122005FA130606450X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00         44,53
CL01ZSAP101 00001122005FA130606500X        5276,03        923,43        814,94       2542,67         10,67        587,84       2147,65        987,77       3334,09      17449,37      17449,37        290,07
CL01ZSAP101 00001122005FA130607100X           0,00          0,00          9,48          0,00          0,00          0,00          0,00          0,00          0,00        115,72        115,72          0,00
CL01ZSAP101 00001122005FA130607450X          23,12        113,15         62,72        470,49          0,00         72,67         45,66         57,45         74,51          0,00          0,00        471,40
CL01ZSAP101 00001122005FA130607460X           0,00        874,84        864,49       4872,34       5327,60       2661,51       2597,51        933,73        936,59        954,27        954,27          0,00
CL01ZSAP101 00001122005FA130607480X         324,16        207,57        349,16        735,19        100,09        213,68       6320,76        -40,95       4278,41       3121,04       3121,04        838,03
CL01ZSAP101 00001122005FA130620020X           2,05          2,06          0,00          0,00          3,11          3,10          7,92         18,83         18,81         18,81         18,81         18,80
CL01ZSAP101 00001122005FA130626650X           0,00          0,00          0,00          0,00          0,00          0,00          0,43         -0,43          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210600190X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1649,19       1649,19       1683,24
CL01ZSAP101 00001122005FA210600200X           0,00          0,00          0,00       1730,95          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210600400X        3707,97       3853,40       3682,38       3752,72       3753,29       3787,90       3879,33       3949,63       4127,88      -4271,00       4271,00       4386,11
CL01ZSAP101 00001122005FA210600410X           0,00          0,00        549,73          0,00          0,00         23,89          0,00          0,00          0,00        244,72        244,72        154,45
CL01ZSAP101 00001122005FA210600420X           0,00        211,79          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210600460X         931,14        966,78        924,58        942,23        943,03        951,48        973,66        965,74       1037,07      -1071,50       1071,50       1100,37
CL01ZSAP101 00001122005FA210600480X           0,00          0,00         16,59          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210600490X           0,00        203,35        358,73        324,87          0,00          0,00          0,00        223,06         77,46          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210600520X         369,01          0,00          0,00          0,00        865,25        190,46        408,66        421,17        431,39        441,26        441,26        453,15
CL01ZSAP101 00001122005FA210600530X         813,37          0,00          0,00          0,00          0,00          0,00        331,00        115,16        116,29        119,79        119,79        121,10
CL01ZSAP101 00001122005FA210600540X         430,82        435,92        427,72        449,13        436,53        451,20        447,99        466,42        489,72        500,36        500,36        506,06
CL01ZSAP101 00001122005FA210600550X        1451,12       1500,75       1432,70       1450,05       1451,96       1463,79       1542,22       1501,01       1603,13       1661,28       1661,28       1714,94
CL01ZSAP101 00001122005FA210600570X         397,45       1151,21        445,03        453,53        453,22        458,32        469,04        483,39        498,50        516,68        516,68        530,60
CL01ZSAP101 00001122005FA210600575X         148,29        153,80        147,09        149,90        441,92        123,07        125,95        129,80        132,95       -136,00        136,00       1273,94
CL01ZSAP101 00001122005FA210600580X           0,00          0,00          0,00          0,00          0,00          0,00        860,42        299,35       1868,26        302,53        302,53        305,00
CL01ZSAP101 00001122005FA210600590X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1297,21       1297,21       1311,36
CL01ZSAP101 00001122005FA210600600X         745,05        769,92        735,93        750,61        738,36        743,52        761,98        785,95        813,68        839,54        839,54        895,26
CL01ZSAP101 00001122005FA210600605X         308,54       -261,60      -1992,57        586,25        638,19        644,38        429,41        518,64        582,11       -258,95        258,95        809,45
CL01ZSAP101 00001122005FA210600610X          55,95         52,47         47,71         52,81         44,16         44,56         45,73         48,69         54,70         50,56         50,56         60,16
CL01ZSAP101 00001122005FA210600620X         525,07        477,06        420,81        488,02        426,51        434,39        444,64        480,28        567,83        491,29        491,29        625,96
CL01ZSAP101 00001122005FA210601590X           2,93         -2,93          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210602040X          37,43          0,00         33,13          5,06          4,64         26,08          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210602070X         129,31         12,20         25,16          0,00         31,43          8,24         12,05          9,49          0,00          0,00          0,00         19,87
CL01ZSAP101 00001122005FA210602100X          17,34        191,77         16,96          8,46         38,18          8,48         22,59          8,66         33,13         21,43         21,43        510,98
CL01ZSAP101 00001122005FA210606110X           0,00          0,00          0,00          0,00          3,43          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210606120X          54,41         54,01         53,47         55,25          0,00          0,00          0,00          0,00        228,24         57,81         57,81          0,00
CL01ZSAP101 00001122005FA210606210X           0,00          0,00         23,50          0,00         17,47          9,23          0,00          0,00          0,00          0,00          0,00         23,46
CL01ZSAP101 00001122005FA210606330X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00      -4163,60       4163,60       3661,86
CL01ZSAP101 00001122005FA210606500X          57,76        617,22         70,89       2571,26         10,67         71,17        121,29        125,06        245,67         55,85         55,85       2776,62
CL01ZSAP101 00001122005FA210607100X           0,00          0,00          0,00        455,52          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210607450X           9,38          0,63          2,56          8,05          0,00          0,00         10,75          6,01          4,76          0,00          0,00        471,40
CL01ZSAP101 00001122005FA210607470X           0,00          0,00          0,00          0,00         19,41          8,29          0,00         34,02          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA210607480X           0,00          0,00          0,00         71,21          0,00          0,00          0,00          0,00          0,00        109,52        109,52          0,00
CL01ZSAP101 00001122005FA210620020X           5,98          6,00          5,98          5,98          9,44          9,45          9,47          9,46          9,44          9,47          9,47          8,31
CL01ZSAP101 00001122005FA210626650X           0,00          0,00          0,00          0,00          0,00          0,00          0,52         -0,52          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600400X        6939,85       7210,89          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600410X         143,32        390,99          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600420X           0,00        211,79          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600460X         941,75        977,88          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600490X           0,00        169,57          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600520X        1134,47       1899,74          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600530X        2440,12          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600540X         812,09        772,96          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600550X        1926,18       1959,39          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600570X         858,65       2960,58          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600575X         332,45        344,81          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600600X        1074,22       1082,71          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600605X         327,06      -1892,87          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600610X         130,56        101,13          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     600620X        1575,21       1191,05          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     601590X           3,91         29,65          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     602040X          71,17         88,57          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     602070X         128,27        141,26          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     602095X         735,92      29925,12          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     602100X         -26,73        193,43          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     606000X         199,24        147,73          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     606120X         882,55       1067,89          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     606210X         420,07        419,38          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     606430X        2713,41       3106,41          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     606500X       15834,87      15856,56          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     607000X          22,21         22,96          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     607200X         296,72          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     607450X         169,82        237,50          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     607470X          19,67          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005     620020X         833,68        833,62          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360600190X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1649,19       1649,19        655,68
CL01ZSAP101 00001122005FA360600200X           0,00          0,00          0,00       1241,27          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360600400X        6309,94       6406,21       6069,14       6391,80       6373,55       6463,26       6614,90       6817,30       7178,87       7470,44       7470,44       7671,78
CL01ZSAP101 00001122005FA360600410X         967,58        683,78        960,33       1431,49       1309,77       1467,45       1635,84        800,65       1878,19       1328,58       1328,58       1870,91
CL01ZSAP101 00001122005FA360600420X           0,00        211,79          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360600460X        1125,96       1119,46       1051,45       1139,82       1138,82       1151,95       1178,90       1214,97       1252,61       1298,78       1298,78       1333,78
CL01ZSAP101 00001122005FA360600480X           0,00          0,00         99,55          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360600490X           0,00          0,00          0,00        294,55         62,45          0,00          0,00          0,00          0,00        171,57        171,57        156,31
CL01ZSAP101 00001122005FA360600520X         799,04          0,00       2686,45       2149,02          0,00          0,00          0,00       2309,18          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360600530X        2454,95          0,00          0,00          0,00          0,00          0,00       1158,51        403,07        407,02        419,27        419,27        423,84
CL01ZSAP101 00001122005FA360600540X        1091,73        824,39        769,76        899,04        916,20       1005,45        981,72        999,75       1065,53       1039,47       1039,47       1115,06
CL01ZSAP101 00001122005FA360600550X        2235,67       2253,07       2148,11       2385,86       2223,05       2252,23       2304,78       2375,40       2495,60       2568,05       2568,05       2682,81
CL01ZSAP101 00001122005FA360600560X         801,21        622,86        574,15        636,31        632,84        644,53        659,73        679,90        696,40        716,78        716,78        873,93
CL01ZSAP101 00001122005FA360600570X         779,40       2681,70        820,90        836,58        834,01        846,40        866,28        892,79        940,83        980,07        980,07       1006,48
CL01ZSAP101 00001122005FA360600575X         378,49        392,56        375,43        382,60        607,87        289,23        296,02        305,08        312,49        319,64        319,64        328,24
CL01ZSAP101 00001122005FA360600580X           0,00          0,00          0,00          0,00          0,00          0,00       2377,51        827,18       3292,13        751,74        751,74        759,84
CL01ZSAP101 00001122005FA360600590X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       4540,23       4540,23       4589,76
CL01ZSAP101 00001122005FA360600600X        1121,78       1152,56       1112,10       1133,42       1114,37       1130,98       1175,42       1228,16       1300,56       1344,32       1344,32       1455,79
CL01ZSAP101 00001122005FA360600605X         908,44       -741,03       -302,89        214,14       1036,62        988,60        941,22        705,67        858,76       1091,22       1091,22        473,97
CL01ZSAP101 00001122005FA360600610X         140,95        106,43        107,50        126,61         93,93         96,41         98,15        100,73        131,85        114,25        114,25        160,43
CL01ZSAP101 00001122005FA360600620X        1575,21       1196,15       1217,43       1454,95       1146,82       1203,29       1220,72       1246,53       1776,95       1512,37       1512,37       2190,86
CL01ZSAP101 00001122005FA360600640X          23,75          9,76          9,73         14,84         11,57          9,75          9,87         10,17         27,39         15,32         15,32         74,33
CL01ZSAP101 00001122005FA360601190X           0,00          0,00         15,67          2,62          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360601590X           6,84         -6,84          0,00          0,00          0,00        110,61          0,00          0,00          0,00          0,00          0,00         27,74
CL01ZSAP101 00001122005FA360602000X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          7,62
CL01ZSAP101 00001122005FA360602040X        4877,90         45,29       2335,37       3416,68        141,65        709,58        641,15       1258,84        106,03       3065,36       3065,36        315,30
CL01ZSAP101 00001122005FA360602070X         290,19         90,97        708,03        358,99       1211,41        275,82        319,17        131,17        116,78        128,91        128,91         34,25
CL01ZSAP101 00001122005FA360602100X         119,10        245,81         94,60        134,64        100,81         96,92         79,05       1239,40        184,58        125,03        125,03        138,10
CL01ZSAP101 00001122005FA360604510X           0,00         50,56          0,00          0,00         30,62          0,00          0,00          0,00         60,20        155,35        155,35          0,00
CL01ZSAP101 00001122005FA360606010X           0,00         21,20          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360606020X           0,00          0,00       3211,84          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360606120X         424,12         69,70         69,57         70,79          0,00         41,76         43,16         43,92        632,83        160,29        160,29          0,00
CL01ZSAP101 00001122005FA360606210X         113,97         15,96         99,22         64,80         10,62         11,03         37,49          0,00         41,21        -54,90         54,90         11,77
CL01ZSAP101 00001122005FA360606220X           0,00          0,00          2,07          0,00          0,00          1,52          0,00          0,00          0,00          2,43          2,43          6,93
CL01ZSAP101 00001122005FA360606450X          49,99          0,00         40,56          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360606500X        2593,96       2825,84         80,75      10755,48       1191,45       1770,93        389,69        677,57        273,59       6927,88       6927,88      14525,81
CL01ZSAP101 00001122005FA360607000X           4,15          4,29          4,09          4,19          4,20          4,22         11,16         11,56         11,88         12,33         12,33         12,67
CL01ZSAP101 00001122005FA360607100X           4,85          0,00         86,58          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA360607410X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00        225,85        225,85          0,00
CL01ZSAP101 00001122005FA360607450X          56,14         86,24         98,28        130,42          0,00          0,00         31,43         77,77        292,02          0,00          0,00        393,62
CL01ZSAP101 00001122005FA360607470X         194,80         21,25        136,33         64,70         59,41         78,26        238,45          0,00        319,24        374,24        374,24        252,76
CL01ZSAP101 00001122005FA360607480X         141,27         77,17        133,16        185,04        114,72          0,00         60,15         31,80         47,79        222,95        222,95          0,00
CL01ZSAP101 00001122005FA360620020X         348,17        348,07        345,22        345,14       1032,67       1032,56       1032,61       1041,80       1041,71       1041,88       1041,88       1041,56
CL01ZSAP101 00001122005FA360626650X           0,00          0,00          0,00          0,00          0,00          0,00         56,73        -56,73          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005MS265600190X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1649,19       1649,19        655,68
CL01ZSAP101 00001122005MS265600200X           0,00          0,00          0,00       1451,13          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005MS265600400X        7534,85       7828,90       7453,40       7630,14       7611,34       7717,41       7898,45       7938,15       7998,38       7782,47       7782,47       7992,21
CL01ZSAP101 00001122005MS265600410X           0,00         24,45        584,18          3,94        215,72          0,00          0,00         85,54        199,92        292,98        292,98        169,89
CL01ZSAP101 00001122005MS265600420X           0,00        211,79          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005MS265600460X        2302,84       2392,82       2250,56       2332,08       2325,80       2359,02       2414,38       2420,94       2479,87       2353,68       2353,68       2417,12
CL01ZSAP101 00001122005MS265600480X           0,00          0,00         82,96          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
